,sc2304,sc2305,sc2306,sc2307,sc2308,sc2309,sc2310
105,502.9,570.5,531.6,526.6,586.6,661.6,725.1
106,517.6,570.1,530.0,526.9,586.8,662.2,723.6
107,490.6,570.7,530.0,515.9,587.1,661.4,724.5
108,491.7,583.5,530.0,516.6,585.8,661.4,724.5
109,489.9,585.0,530.5,519.0,587.5,663.0,721.8
110,491.2,569.7,530.5,517.3,587.2,663.0,722.7
111,491.3,570.8,530.5,527.1,590.7,662.5,720.5
112,491.7,571.0,526.0,517.2,591.3,663.3,724.5
113,486.0,571.0,526.0,517.5,587.2,663.3,727.6
114,492.5,585.6,531.7,519.0,585.9,665.1,725.3
115,492.5,575.6,531.2,517.0,587.6,665.8,732.0
116,492.8,583.7,531.0,517.2,588.8,663.9,730.3
117,492.6,588.8,530.9,524.5,585.7,666.2,731.0
118,491.9,585.0,529.8,519.6,587.3,665.7,731.0
119,487.6,583.4,530.1,519.0,586.7,665.9,729.6
120,491.8,568.0,530.3,518.5,585.8,665.5,727.6
121,490.1,568.0,530.5,519.3,585.8,663.9,729.8
122,487.4,583.4,530.9,517.6,587.9,662.4,726.0
123,493.3,568.5,528.1,525.1,587.6,662.5,726.0
124,482.6,568.8,525.4,525.4,587.8,663.0,725.6
125,491.8,568.9,529.0,516.8,587.5,666.2,725.2
126,491.3,568.9,529.0,524.5,588.3,665.0,721.1
127,490.8,568.8,526.5,518.7,587.4,665.9,721.1
128,505.5,583.5,526.0,517.6,590.6,666.0,726.0
129,490.8,584.5,525.0,525.1,590.6,666.0,724.0
130,491.3,583.4,525.0,524.7,587.5,666.4,718.0
131,486.5,571.9,525.0,519.6,587.5,669.1,718.4
132,485.4,571.0,525.0,520.6,587.5,668.5,717.3
133,486.0,570.4,525.0,520.3,587.8,665.1,715.2
134,485.0,570.5,525.0,521.2,587.4,666.5,715.8
135,485.7,570.1,525.0,526.6,587.2,665.2,717.4
136,491.8,570.7,525.0,526.9,587.8,664.1,717.4
137,490.6,583.5,525.2,515.9,586.9,665.0,717.4
138,491.7,585.0,525.3,516.6,586.2,665.5,718.6
139,489.9,569.7,525.2,519.0,586.1,663.9,717.4
140,491.2,570.8,525.1,517.3,585.1,665.3,717.4
141,491.3,570.1,525.4,527.1,585.2,666.0,717.4
142,491.7,572.0,524.5,517.2,583.9,667.0,718.6
143,486.0,585.6,524.4,517.5,583.8,667.0,718.5
144,492.5,575.6,523.8,519.0,583.8,667.4,717.8
145,492.5,583.7,523.5,517.0,585.1,666.8,718.0
146,492.8,588.8,524.0,517.2,586.0,668.5,716.8
147,492.6,585.0,523.5,524.5,579.4,671.3,718.5
