date,spread
2022-06-01,0.567104492109397
2022-06-02,0.5585648563926392
2022-06-06,0.6669656952472722
2022-06-07,1.417255565517164
2022-06-08,1.417255565517164
2022-06-09,1.7138678192649082
2022-06-10,1.7190117401963194
2022-06-13,1.056004955576828
2022-06-14,1.056004955576828
2022-06-15,0.4577858082041181
2022-06-16,0.25355766932468593
2022-06-17,0.13560355874699676
2022-06-20,2.087570875220905
2022-06-21,1.3598200537054355
2022-06-22,2.654665761606328
2022-06-23,2.349129742431325
2022-06-24,-0.4639462052923357
2022-06-27,0.15001310771756554
2022-06-28,1.527403579658962
2022-06-29,-0.36886559265807745
2022-06-30,0.4972034923336605
2022-07-01,-0.0016574120642140915
2022-07-04,-0.09961518428576563
2022-07-05,-0.09961518428576563
2022-07-06,1.4679013256861067
2022-07-07,-0.2689079559450337
2022-07-08,1.1086953591258784
2022-07-11,0.5739259024117662
2022-07-12,0.1329381691403248
2022-07-13,1.0909777194951062
2022-07-14,-2.5304585537213438
2022-07-15,-2.502686831570481
2022-07-18,-0.2126295665186021
2022-07-19,0.024950627104309796
2022-07-20,-0.7249729838349014
2022-07-21,-0.5414621744844249
2022-07-22,-0.5414621744844249
2022-07-25,-0.5844834423088939
2022-07-26,-0.39884451032492596
2022-07-27,-0.46022842773112993
2022-07-28,-0.5133063921658827
2022-07-29,-0.5620414561356083
2022-08-01,0.7669011109568799
2022-08-02,-0.6392358686871421
2022-08-03,-0.22337432402633633
2022-08-04,-1.7294570187164884
2022-08-05,-0.7589154132595326
2022-08-08,-1.9506421597697046
2022-08-09,-0.11278643955829636
2022-08-10,-0.3527958337636036
2022-08-11,-0.5086994110867064
2022-08-12,-1.6164410048166795
2022-08-15,-0.41423280318695044
2022-08-16,-0.5325623323997093
2022-08-17,0.11091261963791706
2022-08-18,0.18387970531412764
2022-08-19,-0.5818098106526879
2022-08-22,-0.9302094858837178
2022-08-23,-1.4213127845724414
2022-08-24,-0.1355118077719054
2022-08-25,-0.79010960546761
2022-08-26,-0.44402055159195486
2022-08-29,-1.3103512888639384
2022-08-30,-1.4362164846834744
2022-08-31,-0.019009658102556858
2022-09-01,0.8197053444564609
2022-09-02,-0.407430155952551
2022-09-05,-1.072680004236125
2022-09-06,-1.4165541411630338
2022-09-07,-0.27825702679267117
2022-09-08,-0.05820071010667743
2022-09-09,-0.049456226732615446
2022-09-13,-0.39010377171478566
2022-09-14,-0.6759174152917883
2022-09-15,0.08813988067252493
2022-09-16,-0.8660664389537062
2022-09-19,-0.4760824612758384
2022-09-20,-0.7325320785740099
2022-09-21,-0.8462833984151622
2022-09-22,-0.966317499289175
2022-09-23,-0.2698886103828075
2022-09-26,-1.2216835032989704
2022-09-27,-0.27354339441869874
2022-09-28,-0.35297899819990547
2022-09-29,-0.16889579654131412
2022-09-30,-0.6410222125069298
2022-10-10,-0.7256075684795213
2022-10-11,-0.5938997932323261
2022-10-12,-0.4747539884702404
2022-10-13,-0.27359449586897744
2022-10-14,-0.517592319734098
2022-10-17,-0.6024134535987518
2022-10-18,-0.384191201743196
2022-10-19,-0.9671623878803673
2022-10-20,-1.5171593357501378
2022-10-21,-0.7178351013459343
2022-10-24,-0.4542175744526653
2022-10-25,-0.6646797044682802
2022-10-26,-0.5423226134853121
2022-10-27,-0.8634331675681342
2022-10-28,-0.7845574574670258
2022-10-31,-0.9447957727379412
2022-11-01,-1.211483135215117
2022-11-02,-1.1946845784104
2022-11-03,-1.5180998497671159
2022-11-04,-1.3363760365825235
2022-11-07,-1.5056130058355657
2022-11-08,-1.2811226221148508
2022-11-09,-1.4159975928404787
2022-11-10,-0.7748167276960721
2022-11-11,-0.7920615271179484
2022-11-14,-0.5893293190796874
2022-11-15,-0.2506765999933692
2022-11-16,0.1717340263237124
2022-11-17,0.33493009813108304
2022-11-18,0.6711525797178519
2022-11-21,0.3187530423098072
2022-11-22,0.8126897795700858
2022-11-23,0.20102615445235308
2022-11-24,0.8545823950829584
2022-11-25,0.8856892948075936
2022-11-28,0.7178608198065399
2022-11-29,1.264131751499448
2022-11-30,1.2516428105352262
2022-12-01,1.1717308185324553
2022-12-02,1.4692154302784493
2022-12-05,1.105685958390813
2022-12-06,1.2826059691500233
2022-12-07,1.3621748052481701
2022-12-08,0.8799728977484079
2022-12-09,1.1684423125969527
2022-12-12,1.3018224155651406
2022-12-13,1.1673393754431112
2022-12-14,1.2585511701368919
2022-12-15,1.4058815788521948
2022-12-16,1.1441304012301146
2022-12-19,1.1428188162164499
2022-12-20,1.2252397388986158
2022-12-21,0.9806118883384435
2022-12-22,1.148147725272646
2022-12-23,1.0904164140249066
2022-12-26,1.1000106139053183
2022-12-27,1.1623189131228373
2022-12-28,0.936177667019757
2022-12-29,1.0456020197498201
2022-12-30,0.7984421691477482
