date,0,trade_signals
2022-10-27,0.2681315731032514,TradeSignal.HOLD
2022-10-28,0.2696916636244797,TradeSignal.HOLD
2022-10-31,0.2665222940369185,TradeSignal.HOLD
2022-11-01,0.2612474581489286,TradeSignal.LONG
2022-11-02,0.26157971847606554,TradeSignal.HOLD
2022-11-03,0.2551828556317588,TradeSignal.HOLD
2022-11-04,0.2587771890211803,TradeSignal.HOLD
2022-11-07,0.2554298341607977,TradeSignal.HOLD
2022-11-08,0.2598700518057564,TradeSignal.HOLD
2022-11-09,0.2572023463345756,TradeSignal.HOLD
2022-11-10,0.26988432648819316,TradeSignal.HOLD
2022-11-11,0.26954323988391327,TradeSignal.HOLD
2022-11-14,0.2735531004062812,TradeSignal.HOLD
2022-11-15,0.2802513462459384,TradeSignal.CLOSE
2022-11-16,0.28860624806981594,TradeSignal.HOLD
2022-11-17,0.29183411941832116,TradeSignal.HOLD
2022-11-18,0.2984842973485735,TradeSignal.HOLD
2022-11-21,0.2915141518209987,TradeSignal.HOLD
2022-11-22,0.3012837757127951,TradeSignal.HOLD
2022-11-23,0.28918561998775516,TradeSignal.HOLD
2022-11-24,0.3021123739249356,TradeSignal.HOLD
2022-11-25,0.30272764039091093,TradeSignal.HOLD
2022-11-28,0.29940814427853724,TradeSignal.HOLD
2022-11-29,0.31021289141126296,TradeSignal.SHORT
2022-11-30,0.30996587140480614,TradeSignal.HOLD
2022-12-01,0.3083852841606953,TradeSignal.HOLD
2022-12-02,0.31426926190747295,TradeSignal.HOLD
2022-12-05,0.30707897629797376,TradeSignal.HOLD
2022-12-06,0.31057829480106225,TradeSignal.HOLD
2022-12-07,0.3121520947303784,TradeSignal.HOLD
2022-12-08,0.302614575204478,TradeSignal.HOLD
2022-12-09,0.3083202404744654,TradeSignal.HOLD
2022-12-12,0.31095837880747546,TradeSignal.HOLD
2022-12-13,0.3082984253707153,TradeSignal.HOLD
2022-12-14,0.3101025125370125,TradeSignal.HOLD
2022-12-15,0.3130165753559817,TradeSignal.HOLD
2022-12-16,0.3078393727595792,TradeSignal.HOLD
2022-12-19,0.3078134307890412,TradeSignal.HOLD
2022-12-20,0.309443642422794,TradeSignal.HOLD
2022-12-21,0.3046051238167724,TradeSignal.HOLD
2022-12-22,0.3079188318116932,TradeSignal.HOLD
2022-12-23,0.30677695846005903,TradeSignal.HOLD
2022-12-26,0.30696672309448214,TradeSignal.HOLD
2022-12-27,0.3081991251467553,TradeSignal.HOLD
2022-12-28,0.30372625493041205,TradeSignal.HOLD
2022-12-29,0.30589057009495235,TradeSignal.HOLD
2022-12-30,0.30100197080807156,TradeSignal.HOLD
